Class,Super-Category,Special,Description
Vehicle,Vehicle,Orientation matters,Combination of all other vehicles to get a catch all category
Car,Vehicle,Orientation matters,
Pickup,Truck,Orientation matters,
TractorSemi,Truck,Orientation matters,
TrailerSemi,Truck,Orientation matters,
Firetruck,Truck,"Orientation matters, On/Off",
Ambulance,Truck,"Orientation matters, On/Off",
Police,Vehicle,"Orientation matters, On/Off",
ConstructionEquipment,ConstructionFurniture,Orientation matters,
Motorcycle,Vehicle,Orientation matters,
Scooter,Pedestrian,Orientation matters,
Bicyclist,Vehicle,Orientation matters,
EScooter,Vehicle,Orientation matters,
Skateboard,Misc_Label,Orientation matters,
Wheelchair,Pedestrian,Orientation matters,
Stroller,Pedestrian,Orientation matters,
SnowPlow,Vehicle,Orientation matters,
AttenuatorTruck,Truck,Orientation matters,
GarbageTruck,Truck,Orientation matters,
DeliveryTruck,Truck,Orientation matters,
BoxTruck,Truck,Orientation matters,
Bus,Truck,Orientation matters,
ArticulatedBus,Truck,Orientation matters,
SchoolBus,Truck,"Orientation matters, On/Off",
MeterMaid,Pedestrian,Orientation matters,
UtilityTruck,Truck,Orientation matters,
ShoppingCart,Pedestrian,,
Person,Pedestrian,,
ConstructionWorker,Pedestrian,,
TrafficOfficer,Pedestrian,,
GarbageCan,Misc_Label,,
GarbageBin,Misc_Label,,
SnowFence,Misc_Label,,
MobileFence,Misc_Label,,
FoldingBarricade,Misc_Label,,
Dumpster,Misc_Label,,
MobileBathroom,Misc_Label,,
StopSign,TrafficSign,,
SlowSign,TrafficSign,,
SpeedLimitSign,TrafficSign,,
TrafficSign,TrafficSign,,
Flare,Misc_Label,,
BotsDots,Misc_Label,,
RetroReflector,Misc_Label,,
PotHole,Misc_Label,,
Dog,Misc_Label,,
Deer,Misc_Label,,
Cow,Misc_Label,,
Horse,Misc_Label,,
LiveStock,Misc_Label,,
OtherAnimal,Misc_Label,Contains labels for all animals,
Wheel,Misc_Label,,
DebrisDrivable,Misc_Label,,Things we can drive over (small trash)
DebrisNonDrivable,Misc_Label,,"Things that shouldn't be driven over (Wheels, Tires, etc)"
Barrel,ConstructionFurniture,,
Pole,ConstructionFurniture,,
Cone,ConstructionFurniture,,
ConstructionSign,ConstructionFurniture,,
Median,ConstructionFurniture,,K-rail / Plastic barrier divider
TrafficLightGeneral,TrafficSign,,
TrafficLightGreen,TrafficSign,Includes state of light,
TrafficLightRed,TrafficSign,Includes state of light,
TrafficLightAmber,TrafficSign,Includes state of light,
TrafficLightOther,TrafficSign,,
Misc_Label,Misc_Label,Flag for Re-labeling,
